,STATION,NAME,DATE,Precipitation (inches),Snowfall (inches),Snow Depth (inches),Avg Hourly Temp (Fahrenheit),Highest Hourly Temp (Fahrenheit),Lowest Hourly Temp (Fahrenheit),Temperature at Observation (Fahrenheit),Year,Month,Day,Month & Day,Year & Month
0,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-01-01,0.0,0.0,0.0,,26.0,15.0,,1934,1,1,01-01,1934-01
1,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-01-02,0.0,0.0,0.0,,33.0,25.0,,1934,1,2,01-02,1934-01
2,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-01-03,0.21,0.0,0.0,,32.0,30.0,,1934,1,3,01-03,1934-01
3,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-01-04,0.2,0.0,0.0,,34.0,32.0,,1934,1,4,01-04,1934-01
4,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-01-05,0.0,0.0,0.0,,36.0,32.0,,1934,1,5,01-05,1934-01
5,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-01-06,0.0,0.0,0.0,,48.0,31.0,,1934,1,6,01-06,1934-01
6,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-01-07,0.02,0.2,0.0,,34.0,19.0,,1934,1,7,01-07,1934-01
7,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-01-08,0.0,0.0,0.0,,26.0,18.0,,1934,1,8,01-08,1934-01
8,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-01-09,0.0,0.0,0.0,,32.0,23.0,,1934,1,9,01-09,1934-01
9,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-01-10,0.0,0.0,0.0,,34.0,30.0,,1934,1,10,01-10,1934-01
10,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-01-11,0.0,0.0,0.0,,46.0,30.0,,1934,1,11,01-11,1934-01
11,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-01-12,0.04,0.0,0.0,,40.0,34.0,,1934,1,12,01-12,1934-01
